start_date,date,incidD,state,USPS,source,datew
2019-12-29,2020-01-04,0,Alabama,AL,cdc,NA
2020-01-05,2020-01-11,0,Alabama,AL,cdc,NA
2020-01-12,2020-01-18,0,Alabama,AL,cdc,NA
2020-01-19,2020-01-25,NA,Alabama,AL,cdc,NA
2020-01-26,2020-02-01,0,Alabama,AL,cdc,NA
2020-02-02,2020-02-08,0,Alabama,AL,cdc,NA
2020-02-09,2020-02-15,0,Alabama,AL,cdc,NA
2020-02-16,2020-02-22,0,Alabama,AL,cdc,NA
2020-02-23,2020-02-29,NA,Alabama,AL,cdc,NA
2020-03-01,2020-03-07,0,Alabama,AL,cdc,NA
2020-03-08,2020-03-14,0,Alabama,AL,cdc,NA
2020-03-15,2020-03-21,NA,Alabama,AL,cdc,NA
2020-03-22,2020-03-28,23,Alabama,AL,cdc,NA
2020-03-29,2020-04-04,49,Alabama,AL,cdc,NA
2020-04-05,2020-04-11,81,Alabama,AL,cdc,NA
2020-04-12,2020-04-18,89,Alabama,AL,cdc,NA
2020-04-19,2020-04-25,85,Alabama,AL,cdc,NA
2020-04-26,2020-05-02,81,Alabama,AL,cdc,NA
2020-05-03,2020-05-09,116,Alabama,AL,cdc,NA
2020-05-10,2020-05-16,96,Alabama,AL,cdc,NA
2020-05-17,2020-05-23,82,Alabama,AL,cdc,NA
2020-05-24,2020-05-30,103,Alabama,AL,cdc,NA
2020-05-31,2020-06-06,91,Alabama,AL,cdc,NA
2020-06-07,2020-06-13,81,Alabama,AL,cdc,NA
2020-06-14,2020-06-20,88,Alabama,AL,cdc,NA
2020-06-21,2020-06-27,103,Alabama,AL,cdc,NA
2020-06-28,2020-07-04,125,Alabama,AL,cdc,NA
2020-07-05,2020-07-11,135,Alabama,AL,cdc,NA
2020-07-12,2020-07-18,192,Alabama,AL,cdc,NA
2020-07-19,2020-07-25,251,Alabama,AL,cdc,NA
2020-07-26,2020-08-01,263,Alabama,AL,cdc,NA
2020-08-02,2020-08-08,264,Alabama,AL,cdc,NA
2020-08-09,2020-08-15,230,Alabama,AL,cdc,NA
2020-08-16,2020-08-22,209,Alabama,AL,cdc,NA
2020-08-23,2020-08-29,185,Alabama,AL,cdc,NA
2020-08-30,2020-09-05,156,Alabama,AL,cdc,NA
2020-09-06,2020-09-12,138,Alabama,AL,cdc,NA
2020-09-13,2020-09-19,139,Alabama,AL,cdc,NA
2020-09-20,2020-09-26,105,Alabama,AL,cdc,NA
2020-09-27,2020-10-03,111,Alabama,AL,cdc,NA
2020-10-04,2020-10-10,137,Alabama,AL,cdc,NA
2020-10-11,2020-10-17,126,Alabama,AL,cdc,NA
2020-10-18,2020-10-24,119,Alabama,AL,cdc,NA
2020-10-25,2020-10-31,131,Alabama,AL,cdc,NA
2020-11-01,2020-11-07,151,Alabama,AL,cdc,NA
2020-11-08,2020-11-14,176,Alabama,AL,cdc,NA
2020-11-15,2020-11-21,168,Alabama,AL,cdc,NA
2020-11-22,2020-11-28,202,Alabama,AL,cdc,NA
2020-11-29,2020-12-05,251,Alabama,AL,cdc,NA
2020-12-06,2020-12-12,378,Alabama,AL,cdc,NA
2020-12-13,2020-12-19,390,Alabama,AL,cdc,NA
2020-12-20,2020-12-26,452,Alabama,AL,cdc,NA
2020-12-27,2021-01-02,508,Alabama,AL,cdc,NA
2021-01-03,2021-01-09,548,Alabama,AL,cdc,NA
2021-01-10,2021-01-16,596,Alabama,AL,cdc,NA
2021-01-17,2021-01-23,583,Alabama,AL,cdc,NA
2021-01-24,2021-01-30,490,Alabama,AL,cdc,NA
2021-01-31,2021-02-06,347,Alabama,AL,cdc,NA
2021-02-07,2021-02-13,265,Alabama,AL,cdc,NA
2021-02-14,2021-02-20,214,Alabama,AL,cdc,NA
2021-02-21,2021-02-27,170,Alabama,AL,cdc,NA
2021-02-28,2021-03-06,110,Alabama,AL,cdc,NA
2021-03-07,2021-03-13,104,Alabama,AL,cdc,NA
2021-03-14,2021-03-20,81,Alabama,AL,cdc,NA
2021-03-21,2021-03-27,78,Alabama,AL,cdc,NA
2021-03-28,2021-04-03,67,Alabama,AL,cdc,NA
2021-04-04,2021-04-10,53,Alabama,AL,cdc,NA
2021-04-11,2021-04-17,43,Alabama,AL,cdc,NA
2021-04-18,2021-04-24,45,Alabama,AL,cdc,NA
2021-04-25,2021-05-01,46,Alabama,AL,cdc,NA
2021-05-02,2021-05-08,63,Alabama,AL,cdc,NA
2021-05-09,2021-05-15,50,Alabama,AL,cdc,NA
2021-05-16,2021-05-22,50,Alabama,AL,cdc,NA
2021-05-23,2021-05-29,33,Alabama,AL,cdc,NA
2021-05-30,2021-06-05,36,Alabama,AL,cdc,NA
2021-06-06,2021-06-12,34,Alabama,AL,cdc,NA
2021-06-13,2021-06-19,24,Alabama,AL,cdc,NA
2021-06-20,2021-06-26,36,Alabama,AL,cdc,NA
2021-06-27,2021-07-03,22,Alabama,AL,cdc,NA
2021-07-04,2021-07-10,37,Alabama,AL,cdc,NA
2021-07-11,2021-07-17,43,Alabama,AL,cdc,NA
2021-07-18,2021-07-24,63,Alabama,AL,cdc,NA
2021-07-25,2021-07-31,109,Alabama,AL,cdc,NA
2021-08-01,2021-08-07,226,Alabama,AL,cdc,NA
2021-08-08,2021-08-14,345,Alabama,AL,cdc,NA
2021-08-15,2021-08-21,420,Alabama,AL,cdc,NA
2021-08-22,2021-08-28,477,Alabama,AL,cdc,NA
2021-08-29,2021-09-04,497,Alabama,AL,cdc,NA
2021-09-05,2021-09-11,548,Alabama,AL,cdc,NA
2021-09-12,2021-09-18,474,Alabama,AL,cdc,NA
2021-09-19,2021-09-25,410,Alabama,AL,cdc,NA
2021-09-26,2021-10-02,366,Alabama,AL,cdc,NA
2021-10-03,2021-10-09,259,Alabama,AL,cdc,NA
2021-10-10,2021-10-16,217,Alabama,AL,cdc,NA
2021-10-17,2021-10-23,157,Alabama,AL,cdc,NA
2021-10-24,2021-10-30,99,Alabama,AL,cdc,NA
2021-10-31,2021-11-06,85,Alabama,AL,cdc,NA
2021-11-07,2021-11-13,86,Alabama,AL,cdc,NA
2021-11-14,2021-11-20,51,Alabama,AL,cdc,NA
2021-11-21,2021-11-27,59,Alabama,AL,cdc,NA
2021-11-28,2021-12-04,69,Alabama,AL,cdc,NA
2021-12-05,2021-12-11,56,Alabama,AL,cdc,NA
2021-12-12,2021-12-18,71,Alabama,AL,cdc,NA
2021-12-19,2021-12-25,74,Alabama,AL,cdc,NA
2021-12-26,2022-01-01,83,Alabama,AL,cdc,NA
2022-01-02,2022-01-08,153,Alabama,AL,cdc,NA
2022-01-09,2022-01-15,245,Alabama,AL,cdc,NA
2022-01-16,2022-01-22,294,Alabama,AL,cdc,NA
2022-01-23,2022-01-29,421,Alabama,AL,cdc,NA
2022-01-30,2022-02-05,401,Alabama,AL,cdc,NA
2022-02-06,2022-02-12,381,Alabama,AL,cdc,NA
2022-02-13,2022-02-19,305,Alabama,AL,cdc,NA
2022-02-20,2022-02-26,240,Alabama,AL,cdc,NA
2022-02-27,2022-03-05,159,Alabama,AL,cdc,NA
2022-03-06,2022-03-12,106,Alabama,AL,cdc,NA
2022-03-13,2022-03-19,74,Alabama,AL,cdc,NA
2022-03-20,2022-03-26,55,Alabama,AL,cdc,NA
2022-03-27,2022-04-02,35,Alabama,AL,cdc,NA
2022-04-03,2022-04-09,30,Alabama,AL,cdc,NA
2022-04-10,2022-04-16,17,Alabama,AL,cdc,NA
2022-04-17,2022-04-23,21,Alabama,AL,cdc,NA
2022-04-24,2022-04-30,16,Alabama,AL,cdc,NA
2022-05-01,2022-05-07,19,Alabama,AL,cdc,NA
2022-05-08,2022-05-14,11,Alabama,AL,cdc,NA
2022-05-15,2022-05-21,15,Alabama,AL,cdc,NA
2022-05-22,2022-05-28,11,Alabama,AL,cdc,NA
2022-05-29,2022-06-04,19,Alabama,AL,cdc,NA
2022-06-05,2022-06-11,26,Alabama,AL,cdc,NA
2022-06-12,2022-06-18,25,Alabama,AL,cdc,NA
2022-06-19,2022-06-25,21,Alabama,AL,cdc,NA
2022-06-26,2022-07-02,42,Alabama,AL,cdc,NA
2022-07-03,2022-07-09,45,Alabama,AL,cdc,NA
2022-07-10,2022-07-16,65,Alabama,AL,cdc,NA
2022-07-17,2022-07-23,57,Alabama,AL,cdc,NA
2022-07-24,2022-07-30,62,Alabama,AL,cdc,NA
2022-07-31,2022-08-06,68,Alabama,AL,cdc,NA
2022-08-07,2022-08-13,70,Alabama,AL,cdc,NA
2022-08-14,2022-08-20,56,Alabama,AL,cdc,NA
2022-08-21,2022-08-27,49,Alabama,AL,cdc,NA
2022-08-28,2022-09-03,49,Alabama,AL,cdc,NA
2022-09-04,2022-09-10,54,Alabama,AL,cdc,NA
2022-09-11,2022-09-17,43,Alabama,AL,cdc,NA
2022-09-18,2022-09-24,44,Alabama,AL,cdc,NA
2022-09-25,2022-10-01,29,Alabama,AL,cdc,NA
2022-10-02,2022-10-08,22,Alabama,AL,cdc,NA
