,date,USPS,out,diff,low_date,Problem,Correction,,,,
1,1/25/2020,AL,,,1/25/2000,,,,,,
2,2/1/2020,AL,,,1/25/2000,,,,,,
3,2/8/2020,AL,,,1/25/2000,,,,,,
4,2/15/2020,AL,,,1/25/2000,,,,,,
5,2/22/2020,AL,,,1/25/2000,,,,,,
6,2/29/2020,AL,,,1/25/2000,,,,,,
7,3/7/2020,AL,,,1/25/2000,,,,,,
8,3/14/2020,AL,,,1/25/2000,,,,,,
9,3/21/2020,AL,,,1/25/2000,,,,,,
10,3/28/2020,AL,,,1/25/2000,,,,,,
11,4/4/2020,AL,,,1/25/2000,,,,,,
12,4/11/2020,AL,,,1/25/2000,,,,,,
13,4/18/2020,AL,,,1/25/2000,,,,,,
14,4/25/2020,AL,,,1/25/2000,,,,,,
15,5/2/2020,AL,,,1/25/2000,,,,,,
16,5/9/2020,AL,,,1/25/2000,,,,,,
17,5/16/2020,AL,,,1/25/2000,,,,,,
18,5/23/2020,AL,,,1/25/2000,,,,,,
19,5/30/2020,AL,,,1/25/2000,,,,,,
20,6/6/2020,AL,,,1/25/2000,,,,,,
21,6/13/2020,AL,,,1/25/2000,,,,,,
22,6/20/2020,AL,,,1/25/2000,,,,,,
23,6/27/2020,AL,,,1/25/2000,,,,,,
24,7/4/2020,AL,,,1/25/2000,,,,,,
25,7/11/2020,AL,,,1/25/2000,,,,,,
26,7/18/2020,AL,,,1/25/2000,,,,,,
27,7/25/2020,AL,,,1/25/2000,,,,,,
28,8/1/2020,AL,,,1/25/2000,,,,,,
29,8/8/2020,AL,,,1/25/2000,,,,,,
30,8/15/2020,AL,,,1/25/2000,,,,,,
31,8/22/2020,AL,,,1/25/2000,,,,,,
32,8/29/2020,AL,,,1/25/2000,,,,,,
33,9/5/2020,AL,,,1/25/2000,,,,,,
34,9/12/2020,AL,,,1/25/2000,,,,,,
35,9/19/2020,AL,,,1/25/2000,,,,,,
36,9/26/2020,AL,,,1/25/2000,,,,,,
37,10/3/2020,AL,,,1/25/2000,,,,,,
38,10/10/2020,AL,,,1/25/2000,,,,,,
39,10/17/2020,AL,,,1/25/2000,,,,,,
40,10/24/2020,AL,,,1/25/2000,,,,,,
41,10/31/2020,AL,,,1/25/2000,,,,,,
42,11/7/2020,AL,,,1/25/2000,,,,,,
43,11/14/2020,AL,,,1/25/2000,,,,,,
44,11/21/2020,AL,,,1/25/2000,,,,,,
45,11/28/2020,AL,,,1/25/2000,,,,,,
46,12/5/2020,AL,,,1/25/2000,,,,,,
47,12/12/2020,AL,,,1/25/2000,,,,,,
48,12/19/2020,AL,,,1/25/2000,,,,,,
49,12/26/2020,AL,,,1/25/2000,,,,,,
50,1/2/2021,AL,,,1/25/2000,,,,,,
51,1/9/2021,AL,,,1/25/2000,,,,,,
52,1/16/2021,AL,,,1/25/2000,,,,,,
53,1/23/2021,AL,,,1/25/2000,,,,,,
54,1/30/2021,AL,,,1/25/2000,,,,,,
55,2/6/2021,AL,,,1/25/2000,,,,,,
56,2/13/2021,AL,,,1/25/2000,,,,,,
57,2/20/2021,AL,,,1/25/2000,,,,,,
58,2/27/2021,AL,,,1/25/2000,,,,,,
59,3/6/2021,AL,,,1/25/2000,,,,,,
60,3/13/2021,AL,,,1/25/2000,,,,,,
61,3/20/2021,AL,,,1/25/2000,,,,,,
62,3/27/2021,AL,,,1/25/2000,,,,,,
63,4/3/2021,AL,,,1/25/2000,,,,,,
64,4/10/2021,AL,,,1/25/2000,,,,,,
65,4/17/2021,AL,,,1/25/2000,,,,,,
66,4/24/2021,AL,,,1/25/2000,,,,,,
67,5/1/2021,AL,,,1/25/2000,,,,,,
68,5/8/2021,AL,,,1/25/2000,,,,,,
