"","USPS","date","incidD","state"
"1","AK",2020-01-22,0,"Alaska"
"2","AK",2020-01-23,0,"Alaska"
"3","AK",2020-01-24,0,"Alaska"
"4","AK",2020-01-25,0,"Alaska"
"5","AK",2020-01-26,0,"Alaska"
"6","AK",2020-01-27,0,"Alaska"
"7","AK",2020-01-28,0,"Alaska"
"8","AK",2020-01-29,0,"Alaska"
"9","AK",2020-01-30,0,"Alaska"
"10","AK",2020-01-31,0,"Alaska"
"11","AK",2020-02-01,0,"Alaska"
"12","AK",2020-02-02,0,"Alaska"
"13","AK",2020-02-03,0,"Alaska"
"14","AK",2020-02-04,0,"Alaska"
"15","AK",2020-02-05,0,"Alaska"
"16","AK",2020-02-06,0,"Alaska"
"17","AK",2020-02-07,0,"Alaska"
"18","AK",2020-02-08,0,"Alaska"
"19","AK",2020-02-09,0,"Alaska"
"20","AK",2020-02-10,0,"Alaska"
"21","AK",2020-02-11,0,"Alaska"
"22","AK",2020-02-12,0,"Alaska"
"23","AK",2020-02-13,0,"Alaska"
"24","AK",2020-02-14,0,"Alaska"
"25","AK",2020-02-15,0,"Alaska"
"26","AK",2020-02-16,0,"Alaska"
"27","AK",2020-02-17,0,"Alaska"
"28","AK",2020-02-18,0,"Alaska"
"29","AK",2020-02-19,0,"Alaska"
"30","AK",2020-02-20,0,"Alaska"
"31","AK",2020-02-21,0,"Alaska"
"32","AK",2020-02-22,0,"Alaska"
"33","AK",2020-02-23,0,"Alaska"
"34","AK",2020-02-24,0,"Alaska"
"35","AK",2020-02-25,0,"Alaska"
"36","AK",2020-02-26,0,"Alaska"
"37","AK",2020-02-27,0,"Alaska"
"38","AK",2020-02-28,0,"Alaska"
"39","AK",2020-02-29,0,"Alaska"
"40","AK",2020-03-01,0,"Alaska"
"41","AK",2020-03-02,0,"Alaska"
"42","AK",2020-03-03,0,"Alaska"
"43","AK",2020-03-04,0,"Alaska"
"44","AK",2020-03-05,0,"Alaska"
"45","AK",2020-03-06,0,"Alaska"
"46","AK",2020-03-07,0,"Alaska"
"47","AK",2020-03-08,0,"Alaska"
"48","AK",2020-03-09,0,"Alaska"
"49","AK",2020-03-10,0,"Alaska"
"50","AK",2020-03-11,0,"Alaska"
"51","AK",2020-03-12,0,"Alaska"
"52","AK",2020-03-13,0,"Alaska"
"53","AK",2020-03-14,0,"Alaska"
"54","AK",2020-03-15,0,"Alaska"
"55","AK",2020-03-16,0,"Alaska"
"56","AK",2020-03-17,0,"Alaska"
"57","AK",2020-03-18,0,"Alaska"
"58","AK",2020-03-19,0,"Alaska"
"59","AK",2020-03-20,0,"Alaska"
"60","AK",2020-03-21,0,"Alaska"
"61","AK",2020-03-22,0,"Alaska"
"62","AK",2020-03-23,0,"Alaska"
"63","AK",2020-03-24,0,"Alaska"
"64","AK",2020-03-25,0,"Alaska"
"65","AK",2020-03-26,0,"Alaska"
"66","AK",2020-03-27,0,"Alaska"
"67","AK",2020-03-28,1,"Alaska"
"68","AK",2020-03-29,0,"Alaska"
"69","AK",2020-03-30,0,"Alaska"
"70","AK",2020-03-31,0,"Alaska"
"71","AK",2020-04-01,0,"Alaska"
"72","AK",2020-04-02,0,"Alaska"
"73","AK",2020-04-03,0,"Alaska"
"74","AK",2020-04-04,0,"Alaska"
"75","AK",2020-04-05,0,"Alaska"
"76","AK",2020-04-06,0,"Alaska"
"77","AK",2020-04-07,4,"Alaska"
"78","AK",2020-04-08,0,"Alaska"
"79","AK",2020-04-09,0,"Alaska"
"80","AK",2020-04-10,0,"Alaska"
"81","AK",2020-04-11,0,"Alaska"
"82","AK",2020-04-12,0,"Alaska"
"83","AK",2020-04-13,0,"Alaska"
"84","AK",2020-04-14,0,"Alaska"
"85","AK",2020-04-15,0,"Alaska"
"86","AK",2020-04-16,0,"Alaska"
"87","AK",2020-04-17,0,"Alaska"
"88","AK",2020-04-18,0,"Alaska"
"89","AK",2020-04-19,0,"Alaska"
"90","AK",2020-04-20,0,"Alaska"
"91","AK",2020-04-21,0,"Alaska"
"92","AK",2020-04-22,0,"Alaska"
"93","AK",2020-04-23,0,"Alaska"
"94","AK",2020-04-24,0,"Alaska"
"95","AK",2020-04-25,0,"Alaska"
"96","AK",2020-04-26,0,"Alaska"
"97","AK",2020-04-27,0,"Alaska"
"98","AK",2020-04-28,0,"Alaska"
"99","AK",2020-04-29,0,"Alaska"
"100","AK",2020-04-30,0,"Alaska"
"101","AK",2020-05-01,4,"Alaska"
"102","AK",2020-05-02,0,"Alaska"
"103","AK",2020-05-03,0,"Alaska"
"104","AK",2020-05-04,0,"Alaska"
"105","AK",2020-05-05,0,"Alaska"
"106","AK",2020-05-06,1,"Alaska"
"107","AK",2020-05-07,0,"Alaska"
"108","AK",2020-05-08,0,"Alaska"
"109","AK",2020-05-09,0,"Alaska"
"110","AK",2020-05-10,0,"Alaska"
"111","AK",2020-05-11,0,"Alaska"
"112","AK",2020-05-12,0,"Alaska"
"113","AK",2020-05-13,0,"Alaska"
"114","AK",2020-05-14,0,"Alaska"
"115","AK",2020-05-15,0,"Alaska"
"116","AK",2020-05-16,0,"Alaska"
"117","AK",2020-05-17,0,"Alaska"
"118","AK",2020-05-18,0,"Alaska"
"119","AK",2020-05-19,0,"Alaska"
"120","AK",2020-05-20,0,"Alaska"
"121","AK",2020-05-21,0,"Alaska"
"122","AK",2020-05-22,0,"Alaska"
"123","AK",2020-05-23,0,"Alaska"
"124","AK",2020-05-24,0,"Alaska"
"125","AK",2020-05-25,0,"Alaska"
"126","AK",2020-05-26,0,"Alaska"
"127","AK",2020-05-27,0,"Alaska"
"128","AK",2020-05-28,0,"Alaska"
"129","AK",2020-05-29,0,"Alaska"
"130","AK",2020-05-30,0,"Alaska"
"131","AK",2020-05-31,0,"Alaska"
"132","AK",2020-06-01,0,"Alaska"
"133","AK",2020-06-02,0,"Alaska"
"134","AK",2020-06-03,0,"Alaska"
"135","AK",2020-06-04,0,"Alaska"
"136","AK",2020-06-05,0,"Alaska"
"137","AK",2020-06-06,0,"Alaska"
"138","AK",2020-06-07,0,"Alaska"
"139","AK",2020-06-08,0,"Alaska"
"140","AK",2020-06-09,1,"Alaska"
"141","AK",2020-06-10,0,"Alaska"
"142","AK",2020-06-11,0,"Alaska"
"143","AK",2020-06-12,1,"Alaska"
"144","AK",2020-06-13,0,"Alaska"
"145","AK",2020-06-14,0,"Alaska"
"146","AK",2020-06-15,0,"Alaska"
"147","AK",2020-06-16,0,"Alaska"
