date,USPS,incidD,gold_out
2020-01-25,AL,0,0
2020-02-01,AL,0,0
2020-02-08,AL,0,0
2020-02-15,AL,0,0
2020-02-22,AL,0,0
2020-02-29,AL,0,0
2020-03-07,AL,0,0
2020-03-14,AL,0,0
2020-03-21,AL,0,0
2020-03-28,AL,4,0
2020-04-04,AL,40,0
2020-04-11,AL,48,0
2020-04-18,AL,61,0
2020-04-25,AL,56,0
2020-05-02,AL,81,0
2020-05-09,AL,102,0
2020-05-16,AL,95,0
2020-05-23,AL,64,0
2020-05-30,AL,69,0
2020-06-06,AL,71,0
2020-06-13,AL,84,0
2020-06-20,AL,65,0
2020-06-27,AL,81,0
2020-07-04,AL,88,0
2020-07-11,AL,107,0
2020-07-18,AL,172,0
2020-07-25,AL,170,0
2020-08-01,AL,147,0
2020-08-08,AL,152,0
2020-08-15,AL,141,0
2020-08-22,AL,115,0
2020-08-29,AL,141,0
2020-09-05,AL,123,0
2020-09-12,AL,75,0
2020-09-19,AL,87,0
2020-09-26,AL,94,0
2020-10-03,AL,57,0
2020-10-10,AL,106,0
2020-10-17,AL,124,0
2020-10-24,AL,78,0
2020-10-31,AL,101,0
2020-11-07,AL,115,0
2020-11-14,AL,164,0
2020-11-21,AL,211,0
2020-11-28,AL,115,0
2020-12-05,AL,305,0
2020-12-12,AL,225,0
2020-12-19,AL,287,0
2020-12-26,AL,296,0
2021-01-02,AL,187,0
2021-01-09,AL,427,0
2021-01-16,AL,820,0
2021-01-23,AL,538,0
2021-01-30,AL,909,0
2021-02-06,AL,947,0
2021-02-13,AL,729,0
2021-02-20,AL,348,0
2021-02-27,AL,340,0
2021-03-06,AL,221,0
2021-03-13,AL,180,0
2021-03-20,AL,109,0
2021-03-27,AL,90,0
2021-04-03,AL,113,0
2021-04-10,AL,75,0
2021-04-17,AL,78,0
2021-04-24,AL,61,0
2021-05-01,AL,62,0
2021-05-08,AL,65,0
2021-05-15,AL,60,0
2021-05-22,AL,74,0
2021-05-29,AL,34,0
2021-06-05,AL,52,0
2021-06-12,AL,68,0
2021-06-19,AL,40,0
2021-06-26,AL,30,0
2021-07-03,AL,22,0
2021-07-10,AL,44,0
2021-07-17,AL,41,0
2021-07-24,AL,40,0
2021-07-31,AL,53,0
2021-08-07,AL,88,0
2021-08-14,AL,141,0
2021-08-21,AL,235,0
2021-08-28,AL,219,0
2021-09-04,AL,195,0
2021-09-11,AL,259,0
2021-09-18,AL,536,0
2021-09-25,AL,813,0
2021-10-02,AL,447,0
2021-10-09,AL,388,0
2021-10-16,AL,322,0
2021-10-23,AL,227,0
2021-10-30,AL,167,0
2021-11-06,AL,261,0
2021-11-13,AL,147,0
2021-11-20,AL,92,0
2021-11-27,AL,42,0
2021-12-04,AL,70,0
2021-12-11,AL,80,0
2021-12-18,AL,88,0
2021-12-25,AL,65,0
2022-01-01,AL,37,0
2022-01-08,AL,169,0
2022-01-15,AL,17,0
2022-01-22,AL,185,0
2022-01-29,AL,436,0
2022-02-05,AL,285,0
2022-02-12,AL,200,0
2022-02-19,AL,362,0
2022-02-26,AL,292,0
2022-03-05,AL,255,0
2022-03-12,AL,352,0
2022-03-19,AL,206,0
2022-03-26,AL,172,0
2022-04-02,AL,103,0
2022-04-09,AL,63,0
2022-04-16,AL,126,0
2022-04-23,AL,39,0
2022-04-30,AL,26,0
2022-05-07,AL,34,0
2022-05-14,AL,27,0
2022-05-21,AL,17,0
2022-05-28,AL,13,0
2022-06-04,AL,6,0
2022-06-11,AL,28,0
2022-06-18,AL,4,0
2022-06-25,AL,33,0
2022-07-02,AL,30,0
2022-07-09,AL,27,0
2022-07-16,AL,36,0
2022-07-23,AL,50,0
2022-07-30,AL,19,0
2022-08-06,AL,83,0
2022-08-13,AL,52,0
2022-08-20,AL,15,0
2022-08-27,AL,7,0
2022-09-03,AL,112,0
2022-09-10,AL,79,0
2022-09-17,AL,83,0
2022-09-24,AL,73,0
2022-10-01,AL,27,0
2022-10-08,AL,51,0
2022-10-15,AL,32,0
2022-10-22,AL,28,0
2022-10-29,AL,25,0
2022-11-05,AL,0,0
2022-11-12,AL,50,0
2022-11-19,AL,9,0
2022-11-26,AL,14,0
2022-12-03,AL,21,0
2022-12-10,AL,30,0
2022-12-17,AL,22,0
2022-12-24,AL,33,0
2022-12-31,AL,0,0
2023-01-07,AL,39,0
2023-01-14,AL,44,0
2023-01-21,AL,26,0
2023-01-28,AL,24,0
2023-02-04,AL,12,0
2023-02-11,AL,10,0
2023-02-18,AL,7,0
2023-02-25,AL,33,0
2023-03-04,AL,69,0
2023-03-11,AL,31,0
2020-01-25,AK,0,0
2020-02-01,AK,0,0
2020-02-08,AK,0,0
2020-02-15,AK,0,0
2020-02-22,AK,0,0
2020-02-29,AK,0,0
2020-03-07,AK,0,0
2020-03-14,AK,0,0
2020-03-21,AK,0,0
2020-03-28,AK,2,0
2020-04-04,AK,3,0
2020-04-11,AK,3,0
2020-04-18,AK,1,0
2020-04-25,AK,0,0
2020-05-02,AK,0,0
2020-05-09,AK,1,0
2020-05-16,AK,0,0
2020-05-23,AK,0,0
2020-05-30,AK,0,0
2020-06-06,AK,0,0
2020-06-13,AK,2,0
2020-06-20,AK,0,0
2020-06-27,AK,2,0
2020-07-04,AK,2,0
2020-07-11,AK,1,0
2020-07-18,AK,1,0
2020-07-25,AK,2,0
2020-08-01,AK,4,0
2020-08-08,AK,2,0
2020-08-15,AK,2,0
2020-08-22,AK,3,0
2020-08-29,AK,6,0
2020-09-05,AK,5,0
2020-09-12,AK,2,0
2020-09-19,AK,1,0
2020-09-26,AK,7,0
2020-10-03,AK,7,0
2020-10-10,AK,2,0
2020-10-17,AK,6,0
2020-10-24,AK,1,0
2020-10-31,AK,14,0
2020-11-07,AK,4,0
2020-11-14,AK,14,0
2020-11-21,AK,4,0
2020-11-28,AK,18,0
2020-12-05,AK,21,0
2020-12-12,AK,33,0
2020-12-19,AK,8,0
2020-12-26,AK,16,0
2021-01-02,AK,15,0
2021-01-09,AK,9,0
2021-01-16,AK,5,0
2021-01-23,AK,30,0
2021-01-30,AK,3,0
2021-02-06,AK,17,0
2021-02-13,AK,3,0
2021-02-20,AK,7,0
2021-02-27,AK,1,0
2021-03-06,AK,15,0
2021-03-13,AK,1,0
2021-03-20,AK,4,0
2021-03-27,AK,3,0
2021-04-03,AK,0,0
2021-04-10,AK,0,0
2021-04-17,AK,21,1
2021-04-24,AK,0,0
2021-05-01,AK,13,1
2021-05-08,AK,2,0
2021-05-15,AK,4,0
2021-05-22,AK,16,1
2021-05-29,AK,0,0
2021-06-05,AK,0,0
2021-06-12,AK,4,1
2021-06-19,AK,0,0
2021-06-26,AK,1,0
2021-07-03,AK,3,0
2021-07-10,AK,2,0
2021-07-17,AK,2,0
2021-07-24,AK,3,0
2021-07-31,AK,5,0
2021-08-07,AK,9,0
2021-08-14,AK,5,0
2021-08-21,AK,11,0
2021-08-28,AK,24,0
2021-09-04,AK,10,0
2021-09-11,AK,10,0
2021-09-18,AK,11,0
2021-09-25,AK,63,0
2021-10-02,AK,46,0
2021-10-09,AK,14,0
2021-10-16,AK,25,0
2021-10-23,AK,81,0
2021-10-30,AK,27,0
2021-11-06,AK,16,0
2021-11-13,AK,90,0
2021-11-20,AK,31,0
2021-11-27,AK,15,0
2021-12-04,AK,6,0
2021-12-11,AK,3,0
2021-12-18,AK,60,0
2021-12-25,AK,30,0
2022-01-01,AK,2,0
2022-01-08,AK,2,0
2022-01-15,AK,7,0
2022-01-22,AK,64,0
2022-01-29,AK,34,0
2022-02-05,AK,8,0
2022-02-12,AK,21,0
2022-02-19,AK,27,0
2022-02-26,AK,22,0
2022-03-05,AK,28,0
2022-03-12,AK,10,0
2022-03-19,AK,1,0
2022-03-26,AK,20,0
2022-04-02,AK,6,0
2022-04-09,AK,0,0
2022-04-16,AK,7,0
2022-04-23,AK,13,0
2022-04-30,AK,4,0
2022-05-07,AK,1,0
2022-05-14,AK,15,0
2022-05-21,AK,18,0
2022-05-28,AK,1,0
2022-06-04,AK,0,0
2022-06-11,AK,0,0
2022-06-18,AK,0,0
2022-06-25,AK,0,0
2022-07-02,AK,0,0
2022-07-09,AK,0,0
2022-07-16,AK,24,0
2022-07-23,AK,0,0
2022-07-30,AK,0,0
2022-08-06,AK,0,0
2022-08-13,AK,21,0
2022-08-20,AK,0,0
2022-08-27,AK,8,0
2022-09-03,AK,0,0
2022-09-10,AK,0,0
2022-09-17,AK,26,0
2022-09-24,AK,0,0
2022-10-01,AK,0,0
2022-10-08,AK,29,0
2022-10-15,AK,0,0
2022-10-22,AK,0,0
2022-10-29,AK,20,0
2022-11-05,AK,0,0
2022-11-12,AK,0,0
2022-11-19,AK,23,0
2022-11-26,AK,0,0
2022-12-03,AK,0,0
2022-12-10,AK,0,0
2022-12-17,AK,0,0
2022-12-24,AK,19,0
2022-12-31,AK,0,0
2023-01-07,AK,0,0
2023-01-14,AK,0,0
2023-01-21,AK,0,0
2023-01-28,AK,18,0
2023-02-04,AK,0,0
2023-02-11,AK,0,0
2023-02-18,AK,0,0
2023-02-25,AK,13,0
2023-03-04,AK,0,0
2023-03-11,AK,0,0
2020-01-25,AZ,0,0
2020-02-01,AZ,0,0
2020-02-08,AZ,0,0
2020-02-15,AZ,0,0
2020-02-22,AZ,0,0
2020-02-29,AZ,0,0
2020-03-07,AZ,0,0
2020-03-14,AZ,0,0
