state,USPS,datew,incidD,date,out,no,back_date
Alabama,AL,1/25/2020,0,1/25/2020,0,,
Alabama,AL,2/1/2020,0,2/1/2020,0,,
Alabama,AL,2/8/2020,0,2/8/2020,0,,
Alabama,AL,2/15/2020,0,2/15/2020,0,,
Alabama,AL,2/22/2020,0,2/22/2020,0,,
Alabama,AL,2/29/2020,0,2/29/2020,0,,
Alabama,AL,3/7/2020,0,3/7/2020,0,,
Alabama,AL,3/14/2020,0,3/14/2020,0,,
Alabama,AL,3/21/2020,0,3/21/2020,0,,
Alabama,AL,3/28/2020,4,3/28/2020,0,,
Alabama,AL,4/4/2020,40,4/4/2020,0,,
Alabama,AL,4/11/2020,48,4/11/2020,0,,
Alabama,AL,4/18/2020,61,4/18/2020,0,,
Alabama,AL,4/25/2020,56,4/25/2020,0,,
Alabama,AL,5/2/2020,81,5/2/2020,0,,
Alabama,AL,5/9/2020,102,5/9/2020,0,,
Alabama,AL,5/16/2020,95,5/16/2020,0,,
Alabama,AL,5/23/2020,64,5/23/2020,0,,
Alabama,AL,5/30/2020,69,5/30/2020,0,,
Alabama,AL,6/6/2020,71,6/6/2020,0,,
Alabama,AL,6/13/2020,84,6/13/2020,0,,
Alabama,AL,6/20/2020,65,6/20/2020,0,,
Alabama,AL,6/27/2020,81,6/27/2020,0,,
Alabama,AL,7/4/2020,88,7/4/2020,0,,
Alabama,AL,7/11/2020,107,7/11/2020,0,,
Alabama,AL,7/18/2020,172,7/18/2020,0,,
Alabama,AL,7/25/2020,170,7/25/2020,0,,
Alabama,AL,8/1/2020,147,8/1/2020,0,,
Alabama,AL,8/8/2020,152,8/8/2020,0,,
Alabama,AL,8/15/2020,141,8/15/2020,0,,
Alabama,AL,8/22/2020,115,8/22/2020,0,,
Alabama,AL,8/29/2020,141,8/29/2020,0,,
Alabama,AL,9/5/2020,123,9/5/2020,0,,
Alabama,AL,9/12/2020,75,9/12/2020,0,,
Alabama,AL,9/19/2020,87,9/19/2020,0,,
Alabama,AL,9/26/2020,94,9/26/2020,0,,
Alabama,AL,10/3/2020,57,10/3/2020,0,,
Alabama,AL,10/10/2020,106,10/10/2020,0,,
Alabama,AL,10/17/2020,124,10/17/2020,0,,
Alabama,AL,10/24/2020,78,10/24/2020,0,,
Alabama,AL,10/31/2020,101,10/31/2020,0,,
Alabama,AL,11/7/2020,115,11/7/2020,0,,
Alabama,AL,11/14/2020,164,11/14/2020,0,,
Alabama,AL,11/21/2020,211,11/21/2020,0,,
Alabama,AL,11/28/2020,115,11/28/2020,0,,
Alabama,AL,12/5/2020,305,12/5/2020,0,,
Alabama,AL,12/12/2020,225,12/12/2020,0,,
Alabama,AL,12/19/2020,287,12/19/2020,0,,
Alabama,AL,12/26/2020,296,12/26/2020,0,,
Alabama,AL,1/2/2021,187,1/2/2021,0,,
Alabama,AL,1/9/2021,427,1/9/2021,0,,
Alabama,AL,1/16/2021,820,1/16/2021,0,,
Alabama,AL,1/23/2021,538,1/23/2021,0,,
Alabama,AL,1/30/2021,909,1/30/2021,0,,
Alabama,AL,2/6/2021,947,2/6/2021,0,,
Alabama,AL,2/13/2021,729,2/13/2021,0,,
Alabama,AL,2/20/2021,348,2/20/2021,0,,
Alabama,AL,2/27/2021,340,2/27/2021,0,,
Alabama,AL,3/6/2021,221,3/6/2021,0,,
Alabama,AL,3/13/2021,180,3/13/2021,0,,
Alabama,AL,3/20/2021,109,3/20/2021,0,,
Alabama,AL,3/27/2021,90,3/27/2021,0,,
Alabama,AL,4/3/2021,113,4/3/2021,0,,
Alabama,AL,4/10/2021,75,4/10/2021,0,,
Alabama,AL,4/17/2021,78,4/17/2021,0,,
Alabama,AL,4/24/2021,61,4/24/2021,0,,
Alabama,AL,5/1/2021,62,5/1/2021,0,,
Alabama,AL,5/8/2021,65,5/8/2021,0,,
Alabama,AL,5/15/2021,60,5/15/2021,0,,
Alabama,AL,5/22/2021,74,5/22/2021,0,,
Alabama,AL,5/29/2021,34,5/29/2021,0,,
Alabama,AL,6/5/2021,52,6/5/2021,0,,
Alabama,AL,6/12/2021,68,6/12/2021,0,,
Alabama,AL,6/19/2021,40,6/19/2021,0,,
Alabama,AL,6/26/2021,30,6/26/2021,0,,
Alabama,AL,7/3/2021,22,7/3/2021,0,,
Alabama,AL,7/10/2021,44,7/10/2021,0,,
Alabama,AL,7/17/2021,41,7/17/2021,0,,
Alabama,AL,7/24/2021,40,7/24/2021,0,,
Alabama,AL,7/31/2021,53,7/31/2021,0,,
Alabama,AL,8/7/2021,88,8/7/2021,0,,
Alabama,AL,8/14/2021,141,8/14/2021,0,,
Alabama,AL,8/21/2021,235,8/21/2021,0,,
Alabama,AL,8/28/2021,219,8/28/2021,0,,
Alabama,AL,9/4/2021,195,9/4/2021,0,,
Alabama,AL,9/11/2021,259,9/11/2021,0,,
Alabama,AL,9/18/2021,536,9/18/2021,0,,
Alabama,AL,9/25/2021,813,9/25/2021,0,,
Alabama,AL,10/2/2021,447,10/2/2021,0,,
Alabama,AL,10/9/2021,388,10/9/2021,0,,
Alabama,AL,10/16/2021,322,10/16/2021,0,,
Alabama,AL,10/23/2021,227,10/23/2021,0,,
Alabama,AL,10/30/2021,167,10/30/2021,0,,
Alabama,AL,11/6/2021,261,11/6/2021,0,,
Alabama,AL,11/13/2021,147,11/13/2021,0,,
Alabama,AL,11/20/2021,92,11/20/2021,0,,
Alabama,AL,11/27/2021,42,11/27/2021,0,,
Alabama,AL,12/4/2021,70,12/4/2021,0,,
Alabama,AL,12/11/2021,80,12/11/2021,0,,
Alabama,AL,12/18/2021,88,12/18/2021,0,,
Alabama,AL,12/25/2021,65,12/25/2021,0,,
Alabama,AL,1/1/2022,37,1/1/2022,0,,
Alabama,AL,1/8/2022,169,1/8/2022,0,,
Alabama,AL,1/15/2022,17,1/15/2022,0,,
Alabama,AL,1/22/2022,185,1/22/2022,0,,
Alabama,AL,1/29/2022,436,1/29/2022,0,,
Alabama,AL,2/5/2022,285,2/5/2022,0,,
Alabama,AL,2/12/2022,200,2/12/2022,0,,
Alabama,AL,2/19/2022,362,2/19/2022,0,,
Alabama,AL,2/26/2022,292,2/26/2022,0,,
Alabama,AL,3/5/2022,255,3/5/2022,0,,
Alabama,AL,3/12/2022,352,3/12/2022,0,,
Alabama,AL,3/19/2022,206,3/19/2022,0,,
Alabama,AL,3/26/2022,172,3/26/2022,0,,
Alabama,AL,4/2/2022,103,4/2/2022,0,,
Alabama,AL,4/9/2022,63,4/9/2022,0,,
Alabama,AL,4/16/2022,126,4/16/2022,0,,
Alabama,AL,4/23/2022,39,4/23/2022,0,,
Alabama,AL,4/30/2022,26,4/30/2022,0,,
Alabama,AL,5/7/2022,34,5/7/2022,0,,
Alabama,AL,5/14/2022,27,5/14/2022,0,,
Alabama,AL,5/21/2022,17,5/21/2022,0,,
Alabama,AL,5/28/2022,13,5/28/2022,0,,
Alabama,AL,6/4/2022,6,6/4/2022,0,,
Alabama,AL,6/11/2022,28,6/11/2022,0,,
Alabama,AL,6/18/2022,4,6/18/2022,0,,
Alabama,AL,6/25/2022,33,6/25/2022,0,,
Alabama,AL,7/2/2022,30,7/2/2022,0,,
Alabama,AL,7/9/2022,27,7/9/2022,0,,
Alabama,AL,7/16/2022,36,7/16/2022,0,,
Alabama,AL,7/23/2022,50,7/23/2022,0,,
Alabama,AL,7/30/2022,19,7/30/2022,0,,
Alabama,AL,8/6/2022,83,8/6/2022,0,,
Alabama,AL,8/13/2022,52,8/13/2022,0,,
Alabama,AL,8/20/2022,15,8/20/2022,0,,
Alabama,AL,8/27/2022,7,8/27/2022,0,,
Alabama,AL,9/3/2022,112,9/3/2022,0,,
Alabama,AL,9/10/2022,79,9/10/2022,0,,
Alabama,AL,9/17/2022,83,9/17/2022,0,,
Alabama,AL,9/24/2022,73,9/24/2022,0,,
Alabama,AL,10/1/2022,27,10/1/2022,0,,
Alabama,AL,10/8/2022,51,10/8/2022,0,,
Alabama,AL,10/15/2022,32,10/15/2022,0,,
